\STAR_ID                              = "MOA 2008-BLG-310L"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h54m14.53s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-34d46m40.99s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "286"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2454656.45673"
\MAXIMUM_DATE                         = "2454672.64731"
\DATE_UNITS                           = "days"
\REFERENCES                           = "Janczak et al. 2010"
\BIBCODES                             = "2010ApJ...711..731J"
\TELESCOPE                            = "SMARTS Telescope (1.3 m)"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "H"
\OBSERVATORY_SITE                     = "CTIO, Chile"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COMMENT                              = ""
|              JD| RELATIVE_MAGNITUDE| MAGNITUDE_UNCERTAINTY| RELATIVE_FLUX| FLUX_UNCERTAINTY|
|            real|               real|                  real|          real|             real|
|            days|                mag|                   mag|              |                 |
  2454656.56507             16.891                 0.031
  2454656.56584             16.870                 0.030
  2454656.56661             16.974                 0.036
  2454656.56763             16.892                 0.038
  2454656.56840             16.854                 0.031
  2454656.56917             16.904                 0.033
  2454656.56994             16.874                 0.028
  2454656.57071             16.932                 0.029
  2454656.57173             16.906                 0.038
  2454656.57249             16.870                 0.027
  2454656.57326             16.924                 0.036
  2454656.57403             16.918                 0.033
  2454656.57480             16.996                 0.035
  2454656.57588             16.928                 0.031
  2454656.57665             16.893                 0.030
  2454656.57742             16.959                 0.031
  2454656.57819             16.929                 0.029
  2454656.57896             16.993                 0.030
  2454656.58009             16.947                 0.038
  2454656.58086             16.916                 0.033
  2454656.58163             16.951                 0.028
  2454656.58240             16.953                 0.030
  2454656.58317             17.027                 0.033
  2454656.58419             16.940                 0.029
  2454656.58496             16.934                 0.033
  2454656.58573             16.977                 0.035
  2454656.58649             16.974                 0.035
  2454656.58726             17.024                 0.030
  2454656.58828             16.987                 0.036
  2454656.58905             16.969                 0.031
  2454656.58982             16.994                 0.030
  2454656.59058             16.971                 0.029
  2454656.59135             17.091                 0.038
  2454656.59237             17.014                 0.036
  2454656.59314             16.964                 0.030
  2454656.59391             16.998                 0.029
  2454656.59468             17.014                 0.033
  2454656.59545             17.058                 0.036
  2454656.59646             17.049                 0.038
  2454656.59723             17.046                 0.038
  2454656.59800             17.021                 0.031
  2454656.59877             17.003                 0.028
  2454656.59954             17.046                 0.030
  2454656.60056             17.019                 0.030
  2454656.60133             17.044                 0.033
  2454656.60210             17.065                 0.031
  2454656.60287             17.032                 0.029
  2454656.60364             17.085                 0.031
  2454656.60466             17.058                 0.033
  2454656.60542             17.089                 0.038
  2454656.60619             17.090                 0.038
  2454656.60696             17.049                 0.029
  2454656.60773             17.151                 0.044
  2454656.60875             17.087                 0.033
  2454656.60952             17.111                 0.040
  2454656.61029             17.100                 0.033
  2454656.61106             17.090                 0.036
  2454656.61183             17.178                 0.042
  2454656.61284             17.102                 0.038
  2454656.61361             17.091                 0.036
  2454656.61438             17.124                 0.036
  2454656.61515             17.092                 0.033
  2454656.61592             17.178                 0.038
  2454656.61700             17.123                 0.038
  2454656.61776             17.137                 0.038
  2454656.61853             17.138                 0.036
  2454656.61930             17.091                 0.030
  2454656.62007             17.185                 0.033
  2454656.63642             17.165                 0.034
  2454656.63719             17.200                 0.037
  2454656.63796             17.232                 0.037
  2454656.63873             17.229                 0.040
  2454656.63950             17.268                 0.035
