\STAR_ID                              = "OGLE 2003-BLG-235L"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "18h01m16.35s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-28d53m42.00s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "285"
\TIME_REFERENCE_FRAME                 = "Geocentric JD"
\MINIMUM_DATE                         = "2452125.68449"
\MAXIMUM_DATE                         = "2453315.51341"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "17.388"
\MAXIMUM_VALUE                        = "19.577"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Bond, I. et al., 2004, ApJ, 606, L155"
\BIBCODES                             = "2004ApJ...606L.155B"
\TELESCOPE                            = "Warsaw University Telescope (1.3 m)"
\INSTRUMENT                           = "mosaic CCD camera"
\TIME_SERIES_DATA_FILTER              = "I (Johnson)"
\OBSERVATORY_SITE                     = "Las Campanas Observatory"
\COLUMN_JD                            = "Julian Day"
\COLUMN_RELATIVE_MAGNITUDE            = "Relative or Instrument Magnitude"
\COLUMN_MAGNITUDE_UNCERTAINTY         = "Magnitude Uncertainty"
|           JD |  RELATIVE_MAGNITUDE |  MAGNITUDE_UNCERTAINTY |
|         real |                real |                   real |
|         days |                 mag |                    mag |
  2452883.62680              18.732                   0.054
  2452884.58397              18.777                   0.059
  2452885.55497              18.682                   0.066
  2452892.55313              18.846                   0.072
  2452893.48848              18.853                   0.081
  2452894.52850              18.978                   0.074
  2452895.61873              18.914                   0.058
  2452897.63851              18.910                   0.084
  2452898.55150              19.061                   0.091
  2452899.63518              18.936                   0.061
  2452900.48014              18.916                   0.110
  2452900.63042              18.854                   0.078
  2452901.50407              18.882                   0.101
  2452902.47961              18.979                   0.131
  2452903.49844              18.814                   0.097
  2452903.57808              18.789                   0.048
  2452904.53824              18.934                   0.107
  2452904.61321              18.937                   0.098
  2452905.48843              19.146                   0.113
  2452905.55277              19.032                   0.116
  2452905.62954              18.895                   0.100
  2452906.49241              19.044                   0.102
  2452906.58665              18.924                   0.077
  2452907.48603              18.870                   0.102
  2452907.60585              19.201                   0.119
  2452908.49276              19.170                   0.139
  2452909.49462              19.304                   0.121
  2452909.57295              18.973                   0.103
  2452909.63884              18.955                   0.087
  2452910.48592              18.851                   0.109
  2452910.54195              19.059                   0.090
  2452911.52623              19.152                   0.115
  2452912.47734              19.001                   0.148
  2452915.48832              19.081                   0.119
  2452916.52469              19.003                   0.083
  2452917.51595              19.134                   0.109
  2452918.50717              19.187                   0.125
  2452920.51776              18.930                   0.091
  2452921.50631              19.248                   0.142
  2452922.51332              19.145                   0.118
  2452923.52228              19.022                   0.078
  2452924.52014              19.175                   0.077
  2452927.51201              19.163                   0.109
  2452928.52341              19.237                   0.101
  2452930.51729              19.098                   0.096
  2452931.51748              19.108                   0.072
  2452932.52366              19.249                   0.088
  2452934.53301              19.146                   0.103
  2452937.52714              19.202                   0.115
  2452939.52852              19.053                   0.108
  2452939.53323              19.187                   0.121
  2452941.50156              19.219                   0.123
  2452944.52474              19.147                   0.141
  2452945.51029              19.201                   0.147
  2452946.51642              19.386                   0.164
  2452947.50824              19.280                   0.157
  2452951.50479              19.194                   0.148
  2452953.50688              19.156                   0.114
  2453041.87669              19.401                   0.145
  2453050.87089              19.306                   0.112
  2453052.86027              19.260                   0.105
  2453059.83591              19.396                   0.106
  2453064.85282              19.217                   0.126
  2453068.80659              19.519                   0.181
  2453070.88521              19.417                   0.109
  2453073.84129              19.155                   0.084
  2453075.87941              19.394                   0.101
  2453080.78360              19.341                   0.099
  2453082.91525              19.339                   0.102
  2453085.84189              19.572                   0.107
  2453086.91651              19.355                   0.109
  2453088.83449              19.276                   0.068
  2453090.74759              19.145                   0.073
  2453096.90279              19.167                   0.100
  2453099.79848              19.208                   0.109
  2453101.78411              19.515                   0.124
  2453103.80766              19.289                   0.090
  2453104.86635              19.328                   0.176
  2453106.87959              19.235                   0.100
  2453108.80006              19.348                   0.077
  2453109.85902              19.236                   0.074
  2453110.86540              19.322                   0.087
  2453112.85073              19.342                   0.079
  2453114.81532              19.260                   0.079
  2453116.90346              19.319                   0.099
  2453125.90585              19.400                   0.149
  2453127.85364              19.340                   0.101
  2453128.85349              19.166                   0.098
  2453130.73250              19.507                   0.123
  2453131.69892              19.496                   0.141
  2453135.93058              19.294                   0.095
  2453138.68484              19.415                   0.118
  2453139.91082              19.308                   0.083
  2453140.91428              19.290                   0.094
  2453142.79870              19.386                   0.085
  2453144.81868              19.309                   0.081
  2453146.85584              19.266                   0.109
  2453151.79079              19.202                   0.093
  2453151.93933              19.185                   0.119
  2453152.78845              19.420                   0.101
  2453153.79109              19.376                   0.113
  2453154.87541              19.180                   0.128
  2453156.89494              19.570                   0.138
  2453162.60480              19.353                   0.131
  2453163.78576              19.525                   0.114
  2453164.76802              19.398                   0.077
  2453164.90101              19.332                   0.109
  2453165.74155              19.315                   0.083
  2453168.88674              19.284                   0.097
  2453169.75486              19.113                   0.083
  2453170.84276              19.564                   0.097
  2453171.81098              19.333                   0.069
  2453172.78191              19.453                   0.104
  2453173.88292              19.385                   0.153
  2453174.74175              19.382                   0.082
  2453175.75475              19.177                   0.068
  2453177.79097              19.272                   0.137
  2453180.75674              19.447                   0.079
  2453182.81738              19.401                   0.090
  2453183.77238              19.179                   0.090
  2453184.73349              19.288                   0.073
  2453185.73693              19.514                   0.119
  2453195.71156              19.359                   0.078
  2453195.83207              19.425                   0.103
  2453196.80344              19.491                   0.109
  2453197.55775              19.304                   0.096
  2453199.66295              19.196                   0.071
  2453202.54921              19.277                   0.080
  2453203.69433              19.261                   0.073
  2453204.68524              19.208                   0.069
  2453205.54408              19.189                   0.071
  2453209.66940              19.092                   0.079
  2453210.66948              19.506                   0.096
  2453211.63995              19.189                   0.081
  2453217.68416              19.472                   0.114
  2453218.68291              19.194                   0.113
  2453219.64860              19.479                   0.149
  2453223.68369              19.272                   0.115
  2453224.73173              19.251                   0.109
  2453228.63300              19.056                   0.069
  2453229.66548              19.185                   0.069
  2453230.69896              19.175                   0.099
  2453231.60295              19.092                   0.070
  2453232.63942              19.504                   0.140
  2453238.65124              19.304                   0.123
  2453240.50338              19.384                   0.089
  2453241.68711              19.393                   0.170
  2453245.58730              19.342                   0.141
  2453246.69295              19.577                   0.199
  2453247.63600              19.376                   0.113
  2453249.55960              19.424                   0.123
  2453256.66988              19.179                   0.109
  2453260.57964              19.350                   0.101
  2453265.59292              19.267                   0.091
  2453275.58227              19.390                   0.137
  2453279.55258              19.224                   0.104
  2453282.51110              19.128                   0.082
  2453288.57741              19.518                   0.118
  2453295.55648              19.206                   0.062
  2453315.51341              18.949                   0.158
