    0.245537951908076741E+07    0.307881104946136464E+00    0.162138381481170661E+02    0.954025624708864370E+03    0.750641232263272286E+03   -0.447457775013360060E+04   -0.690775511231546968E+01    1
    0.245537975157466624E+07    0.304914247989654552E+00    0.162066382408142076E+02    0.939851161701735464E+03    0.764893565174373521E+03   -0.436987366940761058E+04   -0.690875511231548245E+01    1
    0.245537964348681411E+07    0.301792117953300465E+00    0.164702283620834358E+02    0.926834499082766683E+03    0.777602004955188931E+03   -0.429410556419052045E+04   -0.690975511231547301E+01    1
    0.245537945735245198E+07    0.319769102334976185E+00    0.160558206319808967E+02    0.998474227398387029E+03    0.705919542854461838E+03   -0.429256929775724802E+04   -0.691075511231547601E+01    1
    0.245537942194950348E+07    0.319854384660720803E+00    0.161325738668441758E+02    0.998050919315546821E+03    0.706194597294765458E+03   -0.423846475262161130E+04   -0.691175511231546658E+01    1
    0.245537965529857622E+07    0.310908064246177673E+00    0.164084324121475227E+02    0.957745972940477145E+03    0.746332785965318521E+03   -0.403246197433649559E+04   -0.691275511231547579E+01    1
    0.245537953346036887E+07    0.316815367341041543E+00    0.163459472417831435E+02    0.981190230257767439E+03    0.722747317569717779E+03   -0.400584538348335946E+04   -0.691375511231547435E+01    1
    0.245537967513606511E+07    0.314940387010574308E+00    0.162903853893280015E+02    0.972980823129240889E+03    0.731117740617386858E+03   -0.400449567395712711E+04   -0.691475511231548357E+01    1
    0.245537956332575763E+07    0.316017577052116361E+00    0.163682902574539177E+02    0.977440585859650923E+03    0.726484279499959825E+03   -0.398250746261658924E+04   -0.691575511231552209E+01    1
    0.245537940604258748E+07    0.321981707215309110E+00    0.163503533601760864E+02    0.100139272935698204E+04    0.702307378436151225E+03   -0.394426186935283386E+04   -0.691675511231554463E+01    1
    0.245537970718762605E+07    0.313138359785079923E+00    0.163979795217514024E+02    0.964251778412470458E+03    0.739716673541670730E+03   -0.392594567928952756E+04   -0.691775511231549967E+01    1
    0.245537959629072901E+07    0.309438592195510842E+00    0.166135684013366713E+02    0.950261663649916045E+03    0.753510079188505301E+03   -0.392040359171314594E+04   -0.691875511231549378E+01    1
    0.245537951605165238E+07    0.330256387591362000E+00    0.160502974271774299E+02    0.103318250150349195E+04    0.670679313158875743E+03   -0.389661898035703007E+04   -0.691975511231551454E+01    1
    0.245537960758392327E+07    0.300169125199317932E+00    0.169469444513320937E+02    0.913786355245631512E+03    0.789827629476432890E+03   -0.389158723551785260E+04   -0.692075511231548113E+01    1
