

    0.119821596653115741E-98    0.878907318232745979E+03    0.245537975990462024E+07    0.418184739351272594E+00    0.187173895120620735E+02    0.125248354734425561E+04    0.441950695701165841E+03
    0.212608827516166198E-98    0.877758418143224048E+03    0.245537967939230194E+07    0.484258806705474831E+00    0.171170323371887214E+02    0.155049316864101093E+04    0.144506036237081048E+03
    0.862645488816028577E-98    0.874955318482010625E+03    0.245537960033017863E+07    0.450640338659286543E+00    0.179022239208221450E+02    0.139831966149159189E+04    0.296323572884504188E+03
    0.144525715547362631E-97    0.873921241022784329E+03    0.245537950769845955E+07    0.404423555731773354E+00    0.192120053768157959E+02    0.120056251455671418E+04    0.493423034046883629E+03
    0.149004576934739427E-97    0.873858201884440518E+03    0.245537971415465325E+07    0.396307423710823059E+00    0.193746227741241483E+02    0.116302687054866692E+04    0.531097573822676395E+03
    0.377696798564515288E-97    0.871995972423654848E+03    0.245537944264534209E+07    0.531457254290580772E+00    0.162445655345916755E+02    0.179223057032894076E+04   -0.971270324330388348E+02
    0.415952823890606833E-97    0.871801012231310665E+03    0.245537957478009909E+07    0.403066694736480713E+00    0.192192649364471464E+02    0.119375907384477341E+04    0.500299977954268627E+03
    0.622411540011650984E-97    0.870992952903069181E+03    0.245537942230497114E+07    0.466715869307518016E+00    0.176030988216400139E+02    0.147532090979930285E+04    0.219228840177124937E+03
    0.698058201934240670E-97    0.870761550964461321E+03    0.245537967078657355E+07    0.623480826616287231E+00    0.176148211479187005E+02    0.208691956396396517E+04   -0.397706541323984652E+03
    0.766723122034185453E-97    0.870571904434805560E+03    0.245537954775540577E+07    0.415107691287994407E+00    0.188776384115219145E+02    0.124454585579087643E+04    0.449626751720003142E+03
    0.241701667218579830E-96    0.868273577373625812E+03    0.245537951484073140E+07    0.534213784337043807E+00    0.193859451293945320E+02    0.163676468709165601E+04    0.517083613711242620E+02
    0.124814082891556307E-95    0.864988164972274490E+03    0.245537948214737186E+07    0.614724075794220060E+00    0.177788229942321792E+02    0.204726109133445152E+04   -0.358227916766552482E+03
    0.130356581030641073E-95    0.864899268305796909E+03    0.245537972377271159E+07    0.571133562922477744E+00    0.185733151912689216E+02    0.180999426482543663E+04   -0.121060546084543574E+03
    0.183582995346744548E-95    0.864212481846857258E+03    0.245537953611313784E+07    0.534149426221847579E+00    0.161796131610870368E+02    0.180226914759190936E+04   -0.107076109109120367E+03
    0.325951679666795066E-95    0.863062317261777707E+03    0.245537968511441909E+07    0.435322961211204507E+00    0.182944431304931641E+02    0.132727213587837628E+04    0.367240506315672633E+03
    0.356782778798137606E-95    0.862879561291095797E+03    0.245537948579989653E+07    0.404498657584190346E+00    0.192484460830688491E+02    0.120042173942592535E+04    0.493481575717618625E+03
    0.955721158970269128E-95    0.860906883167199794E+03    0.245537942510358803E+07    0.623105338215828031E+00    0.176142776250839255E+02    0.209717889947422054E+04   -0.408088693728875285E+03
