7457.27239   18.6654    0.0812    1
7458.22149   18.6306    0.1023    2
7458.26602   18.6341    0.1046    3
7459.19294   18.7205    0.0791    4
7459.21596   18.5559    0.1147    5
7460.19028   18.7347    0.0926    6
7460.21275   18.4835    0.0766    7
7460.23500   18.6001    0.0848    8
7460.25700   18.3721    0.0766    9
7460.27880   18.4799    0.0860   10
7461.23189   18.6449    0.0907   11
7461.25439   18.6734    0.0962   12
7462.17788   18.5794    0.0860   13
7462.22072   18.7241    0.0943   14
7462.24220   18.7010    0.0911   15
7462.28869   18.7241    0.0985   16
7465.17130   18.6449    0.0845   17
7465.19236   18.6529    0.0869   18
7465.21663   18.5397    0.0785   19
7466.17942   18.7010    0.1143   20
7466.22159   18.4989    0.0867   21
7466.24328   18.3794    0.0805   22
7466.26577   18.5424    0.0904   23
7467.21136   18.5026    0.0927   24
7467.23217   18.4817    0.0765   25
7467.25416   18.8253    0.0947   26
7467.27625   18.6672    0.0792   27
7469.19174   18.7568    0.1349   28
7469.21601   18.6467    0.1052   29
7469.23752   18.6386    0.0966   30
7469.25941   18.8236    0.1103   31
7470.15997   18.5279    0.0918   32
7470.18114   18.6948    0.1013   33
7470.20263   18.5713    0.0837   34
7470.22415   18.6992    0.0952   35
7470.24588   18.6886    0.0821   36
7470.26785   18.7072    0.0680   37
7471.18557   18.8122    0.0873   38
7471.20675   18.6823    0.0671   39
7471.23064   18.7550    0.0718   40
7471.25419   18.7161    0.0725   41
7471.27664   18.7630    0.0720   42
7472.15173   18.7964    0.1088   43
7472.17270   18.7744    0.0834   44
7472.19770   18.7506    0.0737   45
7472.21964   18.7117    0.0745   46
7472.24153   18.6859    0.0631   47
7472.26314   18.6180    0.0672   48
7472.28443   18.6930    0.0675   49
7473.15586   18.7312    0.0989   50
7473.17809   18.7117    0.1022   51
7473.19952   18.7010    0.0784   52
7473.22140   18.8236    0.0878   53
7473.24376   18.7161    0.0811   54
7473.26667   18.7099    0.0745   55
7473.28765   18.7312    0.0795   56
7474.14738   18.5261    0.1053   57
7474.16894   18.6341    0.0985   58
7474.19000   18.6823    0.0965   59
7474.21110   18.7099    0.0893   60
7474.25916   18.8078    0.0781   61
7474.28035   18.7876    0.0708   62
7475.13311   18.7055    0.0913   63
7475.15485   18.7630    0.1004   64
7475.17759   18.7550    0.0892   65
7475.19936   18.8393    0.0885   66
7475.22090   18.8166    0.0808   67
7475.24244   18.7744    0.0791   68
7475.26430   18.7329    0.0731   69
7475.28603   18.7850    0.0861   70
7476.13353   18.6279    0.1166   71
7476.15607   18.7374    0.1056   72
7476.17685   18.7117    0.0958   73
7476.19754   18.7700    0.0942   74
7476.22108   18.7506    0.0955   75
7479.14119   18.6886    0.0737   76
7479.16259   18.7612    0.0720   77
7479.18430   18.7788    0.0704   78
7479.20682   18.8166    0.0740   79
7479.22916   18.6823    0.0671   80
7479.25042   18.7028    0.0636   81
7479.27398   18.7656    0.0721   82
7480.12950   18.5189    0.1166   83
7480.15223   18.6992    0.0910   84
7480.17417   18.6859    0.0715   85
7480.19303   18.7920    0.0709   86
7480.21299   18.7718    0.0702   87
7480.23217   18.7700    0.0723   88
7480.24940   18.7241    0.0579   89
7480.26815   18.7894    0.0686   90
7480.29101   18.7099    0.0595   91
7481.12729   18.6779    0.0837   92
7481.14718   18.4553    0.0756   93
7481.16780   18.4680    0.0837   94
7481.18707   18.6717    0.0856   95
7481.20665   18.5460    0.0846   96
7483.15471   18.6225    0.0775   97
7483.17430   18.6449    0.0742   98
7483.19806   18.6886    0.0737   99
7483.21659   18.6386    0.0740  100
7483.24069   18.7788    0.0858  101
7483.26127   18.6904    0.0822  102
7483.28280   18.6081    0.0749  103
7484.11972   18.7055    0.0722  104
7484.13901   18.6734    0.0732  105
7484.15734   18.7028    0.0720  106
7484.17561   18.5125    0.0815  107
7484.19429   18.6841    0.0945  108
7484.21335   18.5189    0.0797  109
7484.23452   18.6467    0.0784  110
7484.25361   18.5812    0.0780  111
7484.27234   18.4880    0.0767  112
7484.29309   18.6117    0.0791  113
7485.12971   18.5956    0.0826  114
7485.15212   18.6198    0.0815  115
7485.17083   18.7850    0.0773  116
7485.18904   18.7267    0.0622  117
7485.20724   18.7806    0.0771  118
7485.22640   18.7072    0.0786  119
7485.24498   18.7674    0.0832  120
7485.26373   18.8052    0.0714  121
7485.28286   18.6734    0.0606  122
7487.12754   18.7374    0.0755  123
7487.15182   18.6966    0.0676  124
7487.25364   18.7391    0.0626  125
7487.28019   18.7480    0.0671  126
7488.09817   18.5641    0.1171  127
7488.13749   18.7524    0.0760  128
7488.15643   18.7436    0.0692  129
7488.23625   18.7241    0.0814  130
7488.25679   18.6841    0.0756  131
7488.27694   18.7506    0.0955  132
7489.14828   18.6574    0.1016  133
7489.16807   18.4014    0.1146  134
7489.18831   18.9175    0.1513  135
7489.24916   18.6823    0.1154  136
7489.26782   18.5857    0.0782  137
7489.29053   18.6930    0.0844  138
7492.16273   18.5577    0.0792  139
7492.18026   18.5243    0.0760  140
7492.20003   18.5008    0.0753  141
7492.21795   18.4307    0.0674  142
7492.23649   18.7374    0.0948  143
7492.25404   18.5713    0.0717  144
7492.27562   18.5478    0.0729  145
7493.11023   18.4953    0.0789  146
7493.12944   18.4179    0.0726  147
7493.14917   18.4197    0.0801  148
7493.16755   18.6636    0.0790  149
7493.18554   18.4935    0.0693  150
7493.20347   18.8183    0.0808  151
7493.22188   18.7134    0.0703  152
7493.24068   18.7285    0.0773  153
7493.28118   18.6422    0.0700  154
7494.11214   18.7630    0.1049  155
