2455265.84145 15.398 0.004 5.03 452.0
2455268.87687 15.400 0.004 4.79 338.0
2455272.78672 15.394 0.004 6.44 364.0
2455275.90692 15.391 0.004 5.42 386.0
2455279.77302 15.395 0.005 8.29 386.0
2455284.91145 15.396 0.004 4.59 486.0
2455286.90166 15.395 0.004 4.65 584.0
2455287.77347 15.395 0.004 5.74 696.0
2455293.91017 15.402 0.004 5.40 394.0
2455294.89669 15.397 0.003 3.96 316.0
2455295.90638 15.390 0.003 4.01 304.0
2455297.78939 15.395 0.004 5.03 313.0
2455298.82812 15.392 0.004 4.15 312.0
2455299.81247 15.401 0.003 4.58 269.0
2455300.92440 15.400 0.004 4.53 558.0
2455303.90208 15.398 0.004 5.16 373.0
2455306.91778 15.392 0.004 4.20 366.0
2455307.91870 15.400 0.004 4.56 423.0
2455309.70411 15.393 0.004 5.69 421.0
2455310.72298 15.394 0.004 5.39 419.0
2455312.82980 15.400 0.004 5.39 487.0
2455313.86419 15.395 0.004 5.39 612.0
2455314.79292 15.398 0.004 5.43 751.0
2455315.73859 15.399 0.004 5.42 881.0
2455316.68183 15.403 0.005 5.99 1054.0
2455319.82684 15.394 0.006 4.87 2755.0
2455320.73266 15.397 0.004 5.02 894.0
2455320.93079 15.393 0.004 5.87 819.0
2455321.87380 15.388 0.004 5.20 480.0
2455323.78477 15.404 0.004 4.74 425.0
2455324.72164 15.398 0.004 4.60 377.0
2455324.91622 15.389 0.004 5.44 500.0
2455325.83128 15.397 0.004 6.81 363.0
2455326.76183 15.398 0.004 4.81 317.0
2455327.64646 15.397 0.004 4.48 314.0
2455327.90305 15.396 0.004 4.84 451.0
2455328.83440 15.394 0.004 4.52 357.0
2455334.69876 15.399 0.004 6.28 317.0
2455335.72440 15.388 0.003 3.71 331.0
2455335.91812 15.396 0.004 6.42 453.0
2455337.82460 15.383 0.004 5.99 408.0
2455338.82505 15.390 0.004 6.60 534.0
2455339.85690 15.388 0.004 6.35 643.0
2455340.78321 15.392 0.004 5.55 545.0
2455341.62685 15.395 0.004 5.01 643.0
2455341.92402 15.393 0.004 5.34 625.0
2455342.74951 15.386 0.004 5.06 663.0
2455342.94506 15.398 0.007 8.26 1658.0
2455343.77101 15.390 0.005 4.60 2238.0
2455348.66532 15.393 0.004 4.68 457.0
2455348.91830 15.402 0.005 7.47 634.0
2455349.84717 15.389 0.004 6.28 917.0
2455351.64259 15.401 0.004 5.76 319.0
2455352.64412 15.397 0.004 5.60 335.0
2455353.62442 15.397 0.004 5.17 341.0
2455353.89963 15.396 0.004 6.40 601.0
2455354.91060 15.397 0.005 7.20 645.0
2455355.86437 15.402 0.005 6.96 599.0
2455358.64214 15.395 0.003 5.11 309.0
2455359.58119 15.401 0.004 6.22 553.0
2455359.81604 15.395 0.004 5.32 424.0
2455362.67192 15.396 0.004 5.09 439.0
2455364.64520 15.390 0.004 4.10 320.0
2455364.83475 15.394 0.004 6.63 339.0
2455365.76152 15.401 0.004 5.46 341.0
2455369.74496 15.400 0.004 6.27 994.0
2455376.72632 15.393 0.004 6.32 567.0
2455377.61835 15.396 0.004 5.79 395.0
2455377.85428 15.391 0.004 6.14 700.0
2455378.77827 15.403 0.004 5.03 407.0
2455379.63423 15.393 0.003 4.27 308.0
2455380.77724 15.391 0.004 5.49 361.0
2455381.64937 15.398 0.004 7.10 273.0
2455381.85152 15.394 0.005 7.96 622.0
2455382.72287 15.401 0.004 6.82 321.0
2455385.47371 15.387 0.004 5.34 685.0
2455386.74647 15.398 0.003 5.15 286.0
2455387.72885 15.398 0.003 4.07 243.0
2455388.56830 15.397 0.003 4.69 252.0
2455389.50926 15.400 0.004 5.74 289.0
2455389.83906 15.397 0.004 6.93 417.0
2455390.77448 15.400 0.004 6.16 221.0
2455391.69293 15.386 0.004 5.52 271.0
2455392.56131 15.400 0.004 5.53 309.0
2455393.66826 15.384 0.004 7.98 246.0
2455396.52816 15.397 0.004 7.17 431.0
2455397.62129 15.396 0.004 7.17 388.0
2455403.59778 15.397 0.004 4.25 766.0
2455404.47172 15.398 0.004 4.58 694.0
2455404.66785 15.394 0.004 5.37 483.0
2455405.68460 15.396 0.004 5.77 415.0
