7137.76039 19.199 0.038 0.037 0.972  1.048162
7138.88771 19.240 0.054 0.082 1.517  1.051968
7140.74357 19.214 0.059 0.063 1.072  1.059062
7141.87687 19.121 0.043 -.025 -0.575  1.063975
7143.69872 19.178 0.067 0.041 0.619  1.072953
7144.82729 19.200 0.104 0.070 0.672  1.079283
7146.71794 19.137 0.065 0.019 0.294  1.091448
7147.73765 19.012 0.067 -.098 -1.469  1.098946
7154.65407 18.994 0.035 -.043 -1.234  1.175287
7155.72946 18.964 0.038 -.057 -1.500  1.192852
7157.61898 18.972 0.044 -.016 -0.369  1.229219
7158.75690 18.850 0.039 -0.115 -2.960  1.255189
7159.82499 18.940 0.038 -.002 -.043  1.282925
7160.89555 18.849 0.037 -.066 -1.786  1.314549
7162.61936 18.818 0.046 -.048 -1.041  1.375257
7163.67336 18.920 0.060 0.089 1.479  1.419663
7164.81664 18.775 0.037 -.014 -0.382  1.475587
7166.60329 18.808 0.054 0.096 1.773  1.583485
7166.78686 18.740 0.038 0.037 0.961  1.596284
7168.70497 18.552 0.040 -.048 -1.210  1.754761
7169.69279 18.529 0.027 -.009 -0.330  1.858396
7169.88758 18.526 0.030 0.001 0.043  1.881045
7170.67980 18.473 0.027 0.005 0.192  1.981955
7170.86932 18.427 0.027 -.026 -0.977  2.008402
7172.68208 18.270 0.029 -.027 -0.922  2.319282
7172.87292 18.255 0.031 -.023 -0.743  2.359500
7173.65890 18.181 0.027 -.015 -0.546  2.544871
7173.85460 18.178 0.025 0.004 0.166  2.596621
7174.62352 18.140 0.027 0.058 2.160  2.826207
7174.79571 18.075 0.028 0.015 0.550  2.884170
7175.57956 17.926 0.026 -.026 -0.982  3.185477
7175.75532 17.889 0.022 -.036 -1.657  3.262787
7178.67754 17.341 0.013 -.016 -1.194  5.506466
7178.84898 17.278 0.013 -.035 -2.701  5.730840
7179.62205 17.126 0.014 0.024 1.736  6.961631
7179.78662 17.095 0.013 0.041 3.172  7.275683
7180.57443 16.829 0.010 0.009 0.912  9.023280
7180.73563 16.780 0.009 0.006 0.660  9.411934
7180.90958 16.722 0.009 -.005 -0.575  9.827032
7181.69591 16.584 0.007 0.001 0.122 11.220323
7181.86608 16.557 0.008 -.017 -2.147 11.313347
7182.63029 16.651 0.007 0.003 0.412 10.568880
7182.82259 16.689 0.008 -.002 -0.210 10.162809
7183.58368 16.888 0.009 -.015 -1.618  8.362013
7183.76821 16.990 0.011 0.032 2.923  7.947175
7184.57401 17.233 0.018 0.041 2.275  6.406230
7184.75934 17.262 0.013 0.019 1.488  6.114702
7184.92323 17.267 0.016 -.019 -1.199  5.874642
7185.72238 17.506 0.015 0.024 1.628  4.907954
7185.88925 17.477 0.021 -.042 -1.998  4.742004
7186.84550 17.656 0.019 -.057 -2.996  3.967061
7187.62648 17.813 0.022 -.036 -1.642  3.500012
7187.80962 17.875 0.018 -.004 -0.199  3.406474
7188.59666 17.970 0.020 -.026 -1.291  3.058359
7188.78370 18.065 0.030 0.043 1.446  2.986618
7189.64184 18.104 0.023 -.027 -1.186  2.700220
7189.82260 18.149 0.022 -.004 -0.168  2.647599
7190.61216 18.242 0.026 0.002 0.072  2.443163
7190.81061 18.268 0.030 0.007 0.245  2.397496
7191.63881 18.335 0.026 -.006 -0.221  2.227379
7192.84720 18.419 0.030 -.024 -0.813  2.026945
7192.87245 18.396 0.035 -.049 -1.411  2.023253
7193.66917 18.529 0.022 0.024 1.092  1.915466
7193.85368 18.430 0.028 -.088 -3.142  1.892713
7194.61668 18.654 0.030 0.085 2.837  1.806268
7194.80865 18.691 0.030 0.110 3.667  1.786290
7197.64863 18.699 0.032 -.034 -1.052  1.554080
