# z, b0(z), b0(z)-b1(z), b1(z), b0'(z), b1'(z)
#
# in Yoo et al. 2004 https://ui.adsabs.harvard.edu/abs/2004ApJ...603..139Y/abstract
#  notation
#
# Prepared by Radek Poleski and Jennifer Yee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.999949999062460959e+00 -3.561266814083221544e-01
1.000000000000000021e-02 1.999949999062461056e-02 2.356076680470783197e-02 -3.561266814083221405e-03 1.999799984997499891e+00 -3.559232662960536420e-01
2.000000000000000042e-02 3.999599969994999810e-02 4.711446502587107038e-02 -7.118465325921072284e-03 1.999349886519783848e+00 -3.553130772624955025e-01
2.999999999999999889e-02 5.998649772102027100e-02 7.065402608035339926e-02 -1.066752835933312826e-02 1.998599534682220735e+00 -3.542962832401763684e-01
4.000000000000000083e-02 7.996799039359440975e-02 9.417238138431900663e-02 -1.420439099072459688e-02 1.997548647577268355e+00 -3.528731661049193669e-01
5.000000000000000278e-02 9.993747067256564254e-02 1.176624623539971604e-01 -1.772499168143151782e-02 1.996196829841989651e+00 -3.510441212972372771e-01
5.999999999999999778e-02 1.198919269904342028e-01 1.411172004071035435e-01 -2.122527341666934075e-02 1.994543571962409167e+00 -3.488096582496782450e-01
7.000000000000000666e-02 1.398283421118138303e-01 1.645295269582389142e-01 -2.470118484642508383e-02 1.992588249374349196e+00 -3.461704018942144412e-01
8.000000000000000167e-02 1.597436919779211817e-01 1.878923734324748074e-01 -2.814868145455362569e-02 1.990330121357262172e+00 -3.431270920105062849e-01
8.999999999999999667e-02 1.796349445389590627e-01 2.111986712255942700e-01 -3.156372668663520731e-02 1.987768329716550042e+00 -3.396805873645560858e-01
1.000000000000000056e-01 1.994990585722521970e-01 2.344413517740969455e-01 -3.494229320184474852e-02 1.984901897249068625e+00 -3.358318658681331836e-01
1.100000000000000006e-01 2.193329824839404529e-01 2.576133464879383217e-01 -3.828036400399786876e-02 1.981729725985651669e+00 -3.315820244870106848e-01
1.199999999999999956e-01 2.391336530919652148e-01 2.807075867835501781e-01 -4.157393369158496332e-02 1.978250595203409290e+00 -3.269322842108677296e-01
1.300000000000000044e-01 2.588979943880086454e-01 3.037170040762238732e-01 -4.481900968821522779e-02 1.974463159199636664e+00 -3.218839909423478751e-01
1.400000000000000133e-01 2.786229162759579769e-01 3.266345297863899044e-01 -4.801161351043192749e-02 1.970365944818006199e+00 -3.164386176975817477e-01
1.499999999999999944e-01 2.983053132843687671e-01 3.494530953265356232e-01 -5.114778204216685609e-02 1.965957348716754538e+00 -3.105977677021645178e-01
1.600000000000000033e-01 3.179420632502930055e-01 3.721656321147682189e-01 -5.422356886447521340e-02 1.961235634367080038e+00 -3.043631781962790050e-01
