2455265.84597 14.292 0.003 5.82 494.0
2455268.88140 14.291 0.003 4.83 389.0
2455272.79122 14.291 0.003 5.51 387.0
2455275.91146 14.288 0.003 4.19 556.0
2455279.77754 14.284 0.003 6.03 413.0
2455284.91595 14.293 0.003 4.85 599.0
2455286.90616 14.287 0.003 4.56 607.0
2455287.77797 14.291 0.003 4.23 699.0
2455293.91467 14.302 0.003 4.13 464.0
2455295.89520 14.301 0.003 3.92 325.0
2455298.81710 14.291 0.003 3.95 346.0
2455300.91345 14.291 0.003 3.84 374.0
2455307.84307 14.294 0.003 4.54 432.0
2455309.89835 14.287 0.003 4.11 371.0
2455312.76992 14.311 0.003 5.89 500.0
2455314.73271 14.308 0.003 4.80 844.0
2455315.87134 14.305 0.003 5.34 996.0
2455321.74494 14.290 0.003 4.10 484.0
2455322.91360 14.279 0.003 4.35 1426.0
2455324.78726 14.290 0.003 4.86 414.0
2455325.90504 14.291 0.003 5.02 452.0
2455327.77735 14.295 0.003 4.21 343.0
2455328.90024 14.295 0.003 4.58 479.0
2455335.80715 14.291 0.003 4.19 388.0
2455337.90537 14.284 0.003 5.43 579.0
2455340.63568 14.286 0.003 6.53 754.0
2455341.82514 14.283 0.003 4.18 653.0
2455342.84860 14.288 0.003 5.03 738.0
2455343.89004 14.292 0.003 4.58 1111.0
2455349.73469 14.297 0.003 4.43 842.0
2455352.75334 14.298 0.003 4.02 389.0
2455352.82247 14.301 0.003 4.03 474.0
2455354.90091 14.296 0.003 5.70 663.0
2455359.58272 14.296 0.003 5.24 582.0
2455364.72743 14.310 0.003 5.01 379.0
2455376.75494 14.302 0.003 5.21 635.0
2455377.65561 14.305 0.003 3.82 403.0
2455377.67668 14.300 0.003 4.73 409.0
2455379.72227 14.307 0.003 4.33 376.0
2455381.81642 14.300 0.003 6.55 483.0
2455387.58105 14.303 0.003 4.04 283.0
2455390.72664 14.291 0.003 4.81 266.0
2455393.81823 14.301 0.003 8.06 432.0
2455404.51267 14.295 0.003 5.03 550.0
2455407.77249 14.294 0.003 6.68 534.0
2455411.71024 14.293 0.003 4.33 318.0
2455418.65405 14.294 0.003 5.26 255.0
2455430.59124 14.299 0.003 4.96 596.0
2455436.65229 14.292 0.003 4.70 468.0
2455445.50392 14.302 0.003 4.03 391.0
