6741.87520 19.251 0.053 4.49 462.0
6742.84914 19.168 0.040 3.83 367.0
6745.89635 19.169 0.049 4.94 324.0
6750.76018 19.332 0.057 4.91 369.0
6752.81874 19.151 0.042 4.29 334.0
6755.88410 19.364 0.058 4.75 361.0
6757.86406 19.224 0.055 5.06 318.0
6759.88906 19.192 0.032 3.05 365.0
6761.82044 19.189 0.049 3.94 467.0
6763.80476 19.235 0.057 4.11 603.0
6768.93230 19.179 0.068 3.67 1374.0
6770.77458 19.250 0.060 5.17 396.0
6772.67877 19.288 0.056 4.75 413.0
6773.83696 19.194 0.057 5.59 333.0
6775.77692 19.183 0.040 4.27 324.0
6776.89594 19.145 0.050 4.63 414.0
6777.73263 19.257 0.046 4.19 408.0
6784.89439 19.164 0.057 4.46 470.0
6785.88643 19.062 0.049 4.19 477.0
6786.91170 19.212 0.060 4.75 455.0
6789.80217 19.130 0.051 3.72 550.0
6790.88533 19.185 0.070 4.73 708.0
6791.94127 19.074 0.096 4.39 2122.0
6796.65357 19.224 0.065 4.01 532.0
6797.75486 19.309 0.065 3.84 796.0
6799.90729 19.162 0.097 6.97 489.0
6804.60546 19.164 0.053 4.76 347.0
6805.65642 19.205 0.084 6.72 392.0
6807.61588 19.271 0.085 6.31 396.0
6808.66393 19.198 0.056 4.77 377.0
6809.70825 19.100 0.033 3.26 305.0
6810.76355 19.199 0.050 3.98 373.0
6811.78235 19.248 0.067 4.86 465.0
6813.89037 19.312 0.069 5.55 375.0
6815.61481 19.188 0.090 7.01 410.0
6816.70072 19.188 0.061 5.00 399.0
6817.78339 19.225 0.062 4.64 485.0
6819.64575 19.106 0.086 5.42 948.0
6823.85880 19.232 0.108 4.62 1701.0
6824.90210 19.149 0.100 6.17 923.0
6826.53241 19.325 0.087 5.74 450.0
6827.57787 19.050 0.049 4.30 434.0
6828.62561 19.231 0.044 4.19 291.0
6829.62201 19.207 0.073 5.89 324.0
6830.65463 19.099 0.034 3.18 343.0
6831.79192 19.396 0.063 4.87 375.0
6832.82555 19.392 0.095 6.02 579.0
6834.50068 19.087 0.083 6.23 571.0
6835.55219 19.120 0.071 5.85 417.0
6836.59239 19.124 0.070 5.90 408.0
6837.59849 19.171 0.052 4.32 444.0
6838.59837 19.330 0.071 5.47 359.0
6839.60988 19.198 0.061 4.83 426.0
6840.67546 19.398 0.095 6.41 387.0
6841.77991 19.095 0.071 6.17 476.0
6842.82611 19.299 0.107 7.23 509.0
6844.84703 19.101 0.088 7.20 532.0
6845.83543 19.251 0.070 5.95 455.0
6847.78039 19.061 0.063 4.92 779.0
6851.78917 19.301 0.106 5.99 896.0
6855.51908 19.254 0.081 6.47 373.0
6856.54824 19.201 0.062 5.27 387.0
6857.59162 19.111 0.048 3.96 347.0
6858.67320 19.165 0.046 4.18 362.0
6862.63172 19.166 0.063 5.39 390.0
6863.70933 19.237 0.054 4.91 382.0
6872.53382 19.235 0.082 6.56 330.0
6878.57070 19.263 0.125 6.93 737.0
6882.62848 19.222 0.058 4.67 402.0
6885.57623 19.249 0.060 4.95 322.0
6886.71502 19.368 0.093 6.31 600.0
6888.64197 19.141 0.056 5.01 421.0
6890.57969 19.338 0.068 5.47 310.0
6895.53250 19.271 0.051 4.07 354.0
6912.63019 19.232 0.084 5.99 580.0
6918.54931 19.135 0.080 6.19 499.0
6922.62647 19.196 0.083 6.47 492.0
6926.48642 19.160 0.091 6.53 491.0
6929.50980 19.381 0.089 5.97 443.0
6932.55361 19.325 0.148 6.43 1663.0
6936.49336 19.403 0.086 5.14 627.0
6942.51283 19.144 0.077 5.97 556.0
7069.87628 19.246 0.060 4.53 447.0
7074.88664 19.089 0.060 5.44 438.0
7075.86271 19.118 0.050 4.81 398.0
7078.86521 19.079 0.044 4.12 377.0
7082.86705 19.142 0.042 4.09 334.0
7086.89543 19.091 0.051 3.90 527.0
7090.82554 19.147 0.059 4.51 522.0
7097.89470 19.115 0.035 3.14 319.0
7100.87989 19.114 0.046 3.92 375.0
7110.80722 19.150 0.041 3.88 372.0
7112.91819 19.296 0.059 3.72 550.0
7115.73226 19.155 0.059 4.46 540.0
7117.71417 19.287 0.082 4.80 791.0
7119.77642 19.181 0.066 4.35 637.0
7126.87745 19.225 0.045 3.40 426.0
7130.77798 19.087 0.044 3.97 320.0
7132.68558 19.244 0.094 6.76 479.0
7134.75753 19.263 0.069 5.58 372.0
7135.91579 19.186 0.043 3.47 367.0
