 2013-Jul-06 12:00     10 38 47.49 +07 32 07.0 1.18075483848669  -0.3780687   9.820039
 2013-Jul-07 12:00     10 42 25.09 +07 10 05.3 1.18053770212941  -0.3738149   9.818233
 2013-Jul-08 12:00     10 46 02.37 +06 47 57.0 1.18032299024959  -0.3696687   9.816447
 2013-Jul-09 12:00     10 49 39.36 +06 25 42.6 1.18011065108061  -0.3655938   9.814681
 2013-Jul-10 12:00     10 53 16.06 +06 03 22.2 1.17990065357484  -0.3615529   9.812935
 2013-Jul-11 12:00     10 56 52.50 +05 40 56.3 1.17969299135428  -0.3574985   9.811207
 2013-Jul-12 12:00     11 00 28.68 +05 18 25.2 1.17948768988020  -0.3533680   9.809500
 2013-Jul-13 12:00     11 04 04.63 +04 55 49.3 1.17928481170654  -0.3490952   9.807813
 2013-Jul-14 12:00     11 07 40.36 +04 33 08.9 1.17908446159627  -0.3445998   9.806146
 2013-Jul-15 12:00     11 11 15.88 +04 10 24.4 1.17888679424747  -0.3397892   9.804502
 2013-Jul-16 12:00     11 14 51.21 +03 47 36.1 1.17869202162597  -0.3345577   9.802883
 2013-Jul-17 12:00     11 18 26.37 +03 24 44.4 1.17850042111270  -0.3287845   9.801289
 2013-Jul-18 12:00     11 22 01.37 +03 01 49.6 1.17831234181479  -0.3223438   9.799725
 2013-Jul-19 12:00     11 25 36.23 +02 38 52.0 1.17812820489365  -0.3151157   9.798194
 2013-Jul-20 12:00     11 29 10.96 +02 15 52.1 1.17794849513086  -0.3070003   9.796699
 2013-Jul-21 12:00     11 32 45.59 +01 52 50.1 1.17777374178664  -0.2979506   9.795246
 2013-Jul-22 12:00     11 36 20.14 +01 29 46.4 1.17760448256244  -0.2879855   9.793838
 2013-Jul-23 12:00     11 39 54.62 +01 06 41.3 1.17744122301237  -0.2771966   9.792480
 2013-Jul-24 12:00     11 43 29.06 +00 43 35.1 1.17728439793571  -0.2657327   9.791176
 2013-Jul-25 12:00     11 47 03.49 +00 20 28.2 1.17713434750758  -0.2537695   9.789928
 2013-Jul-26 12:00     11 50 37.91 -00 02 39.2 1.17699130812310  -0.2414836   9.788738
 2013-Jul-27 12:00     11 54 12.37 -00 25 46.8 1.17685542106850  -0.2290267   9.787608
 2013-Jul-28 12:00     11 57 46.87 -00 48 54.2 1.17672674894374  -0.2165175   9.786538
 2013-Jul-29 12:00     12 01 21.46 -01 12 01.1 1.17660529604665  -0.2040407   9.785528
 2013-Jul-30 12:00     12 04 56.13 -01 35 07.1 1.17649102553451  -0.1916559   9.784577
 2013-Jul-31 12:00     12 08 30.93 -01 58 12.0 1.17638387108973  -0.1794057   9.783686
 2013-Aug-01 12:00     12 12 05.86 -02 21 15.3 1.17628347323589  -0.1673146   9.782851
 2013-Aug-02 12:00     12 15 40.95 -02 44 16.9 1.17619028155846  -0.1554064   9.782076
 2013-Aug-03 12:00     12 19 16.22 -03 07 16.3 1.17610391114400  -0.1436971   9.781358
 2013-Aug-04 12:00     12 22 51.69 -03 30 13.2 1.17602424387226  -0.1321977   9.780695
 2013-Aug-05 12:00     12 26 27.38 -03 53 07.3 1.17595115630275  -0.1209139   9.780088
 2013-Aug-06 12:00     12 30 03.30 -04 15 58.2 1.17588452462284  -0.1098420   9.779533
 2013-Aug-07 12:00     12 33 39.48 -04 38 45.5 1.17582422994284  -0.0989677   9.779032
 2013-Aug-08 12:00     12 37 15.92 -05 01 28.9 1.17577016534699  -0.0882635   9.778582
 2013-Aug-09 12:00     12 40 52.66 -05 24 08.1 1.17572224442111  -0.0776861   9.778184
 2013-Aug-10 12:00     12 44 29.70 -05 46 42.6 1.17568040989492  -0.0671775   9.777836
 2013-Aug-11 12:00     12 48 07.06 -06 09 12.2 1.17564464265558  -0.0566635   9.777538
 2013-Aug-12 12:00     12 51 44.75 -06 31 36.5 1.17561497136986  -0.0460533   9.777292
 2013-Aug-13 12:00     12 55 22.79 -06 53 55.1 1.17559148095488  -0.0352423   9.777096
 2013-Aug-14 12:00     12 59 01.20 -07 16 07.6 1.17557432151311  -0.0241109   9.776954
 2013-Aug-15 12:00     13 02 39.98 -07 38 13.7 1.17556371433924  -0.0125327   9.776865
 2013-Aug-16 12:00     13 06 19.15 -08 00 13.0 1.17555995481213  -0.0003785   9.776834
 2013-Aug-17 12:00     13 09 58.73 -08 22 05.2 1.17556341036824   0.0124679   9.776863
 2013-Aug-18 12:00     13 13 38.73 -08 43 49.9 1.17557450797815   0.0260940   9.776955
 2013-Aug-19 12:00     13 17 19.16 -09 05 26.7 1.17559371173661   0.0405381   9.777115
 2013-Aug-20 12:00     13 21 00.04 -09 26 55.4 1.17562149053171   0.0557772   9.777346
 2013-Aug-21 12:00     13 24 41.40 -09 48 15.5 1.17565828220143   0.0717281   9.777652
 2013-Aug-22 12:00     13 28 23.24 -10 09 26.7 1.17570446124007   0.0882573   9.778036
 2013-Aug-23 12:00     13 32 05.59 -10 30 28.7 1.17576031888828   0.1052154   9.778500
 2013-Aug-24 12:00     13 35 48.46 -10 51 21.2 1.17582605681862   0.1224443   9.779047
 2013-Aug-25 12:00     13 39 31.87 -11 12 03.8 1.17590179072472   0.1398070   9.779677
 2013-Aug-26 12:00     13 43 15.84 -11 32 36.1 1.17598756417142   0.1571913   9.780390
 2013-Aug-27 12:00     13 47 00.38 -11 52 57.9 1.17608336370369   0.1745110   9.781187
