2457063.88217 15.077 0.003 5.59 516.0
2457069.87345 15.064 0.003 4.76 371.0
2457071.89814 15.077 0.003 5.06 959.0
2457075.89890 15.072 0.003 4.73 962.0
2457077.88392 15.067 0.003 5.74 324.0
2457079.90282 15.077 0.004 6.47 592.0
2457082.83911 15.072 0.003 4.56 307.0
2457083.88690 15.070 0.003 5.03 280.0
2457086.83472 15.071 0.003 4.23 506.0
2457088.87695 15.069 0.003 4.32 394.0
2457090.91153 15.073 0.003 4.49 1115.0
2457092.90749 15.076 0.003 4.08 704.0
2457098.84198 15.073 0.003 4.00 301.0
2457100.83368 15.071 0.003 4.04 338.0
2457102.91526 15.076 0.003 5.06 467.0
2457110.83556 15.070 0.003 3.92 309.0
2457112.80270 15.070 0.003 5.62 362.0
2457114.88173 15.074 0.003 3.87 349.0
2457116.88145 15.070 0.003 4.59 508.0
2457120.85677 15.072 0.003 3.68 736.0
2457126.78473 15.075 0.003 3.89 323.0
2457130.71970 15.072 0.003 4.78 255.0
2457131.87942 15.074 0.003 4.27 296.0
2457134.70066 15.071 0.003 5.30 323.0
2457137.70142 15.071 0.003 4.48 261.0
2457138.80524 15.078 0.003 4.20 301.0
2457140.68941 15.070 0.003 5.10 344.0
2457141.79365 15.089 0.003 3.17 322.0
2457142.93003 15.075 0.003 4.09 575.0
2457144.73753 15.075 0.003 5.47 566.0
2457146.66839 15.067 0.003 4.98 861.0
2457147.68739 15.073 0.004 5.76 1473.0
2457152.83607 15.063 0.003 4.39 458.0
2457153.88246 15.075 0.003 4.13 464.0
2457155.66902 15.069 0.003 4.49 332.0
2457158.69897 15.074 0.003 4.99 287.0
2457159.74353 15.070 0.003 5.20 326.0
2457160.83325 15.065 0.003 4.01 282.0
2457161.90588 15.073 0.003 4.12 425.0
2457163.61379 15.068 0.003 6.93 443.0
2457164.74531 15.071 0.003 4.98 277.0
2457166.81805 15.065 0.003 4.79 353.0
2457169.79100 15.073 0.003 4.61 264.0
2457170.82781 15.066 0.003 4.16 314.0
2457172.87448 15.070 0.003 5.31 379.0
2457173.90072 15.065 0.003 4.95 600.0
2457178.65985 15.073 0.003 4.35 642.0
2457179.85168 15.077 0.003 6.09 499.0
2457180.85170 15.077 0.003 4.66 402.0
2457181.86759 15.080 0.003 5.19 391.0
2457182.88680 15.068 0.003 4.95 363.0
2457183.89238 15.074 0.003 6.44 343.0
2457184.92474 15.069 0.004 7.16 483.0
2457186.60498 15.066 0.003 5.92 268.0
2457187.72313 15.070 0.003 4.78 282.0
2457188.74082 15.069 0.003 5.65 339.0
2457189.82409 15.071 0.003 4.70 434.0
2457190.88682 15.079 0.003 6.00 711.0
2457193.85516 15.072 0.003 4.39 388.0
2457197.60543 15.073 0.003 4.82 250.0
2457198.62975 15.078 0.003 4.92 288.0
2457199.63369 15.074 0.003 4.49 278.0
2457200.63029 15.077 0.003 3.87 343.0
2457202.86754 15.075 0.004 6.57 1108.0
2457207.53187 15.071 0.003 4.67 527.0
2457209.67118 15.072 0.003 5.69 368.0
2457211.64999 15.075 0.003 5.25 242.0
2457214.61653 15.075 0.003 4.94 347.0
2457219.54101 15.070 0.003 5.28 482.0
2457220.68489 15.070 0.003 3.60 268.0
2457221.71455 15.070 0.003 4.74 309.0
2457223.50462 15.076 0.004 9.07 359.0
2457224.57547 15.068 0.003 5.81 253.0
2457226.50311 15.075 0.003 5.77 310.0
2457227.51527 15.062 0.003 5.39 769.0
2457228.56142 15.062 0.003 4.32 356.0
2457229.63719 15.074 0.003 3.59 442.0
2457233.48511 15.076 0.003 5.40 814.0
2457250.59324 15.068 0.003 5.46 425.0
2457253.63591 15.080 0.003 4.16 284.0
2457256.65545 15.065 0.003 6.64 422.0
2457261.55539 15.078 0.003 5.76 620.0
2457264.50793 15.068 0.003 4.52 487.0
2457267.48217 15.076 0.003 6.44 369.0
2457269.48917 15.070 0.003 5.73 315.0
2457271.49386 15.065 0.004 7.48 326.0
2457274.52257 15.060 0.003 6.20 429.0
2457278.49973 15.084 0.003 7.15 352.0
