2455267.81024 18.086 0.011
2455286.78024 18.073 0.025
2455292.81340 18.053 0.013
2455662.81381 18.074 0.010
2455684.72160 18.081 0.009
2455707.64230 18.066 0.010
2455740.70156 18.093 0.011
2455769.55593 18.078 0.009
2455806.48259 18.097 0.014
2455993.89960 18.062 0.012
2456014.83247 18.091 0.009
2456034.85038 18.074 0.009
2456061.75216 18.072 0.009
2456086.70658 18.069 0.011
2456108.66008 18.067 0.013
2456134.64909 18.073 0.012
2456167.62957 18.052 0.015
2456393.75850 18.086 0.010
2456417.87861 18.057 0.009
2456441.75390 18.068 0.014
2456459.67893 18.084 0.009
2456486.68362 18.076 0.009
2456516.53943 18.074 0.009
2456771.78442 18.072 0.009
2456813.79672 18.088 0.011
2456834.65829 18.059 0.011
2456835.67879 18.069 0.011
2456863.58833 18.102 0.009
2456929.53966 18.083 0.013
2457130.82757 18.078 0.010
2457157.82375 18.096 0.010
2457183.68532 18.050 0.011
2457221.60353 18.070 0.009
2457268.51213 18.068 0.009
2457493.82918 18.088 0.009
2457623.56726 18.032 0.009
2457844.79880 17.571 0.007
2457876.77119 17.302 0.006
2457902.70655 17.137 0.006
2457922.66587 16.964 0.006
2457934.66340 16.876 0.005
2457953.58038 17.224 0.006
2457986.52762 17.625 0.007
2458011.56650 17.797 0.011
